code,best_rating,best_player
BHU,1899,Bhakta Bahadur Monger
BAH,1895,Gibson Franklyn
PLW,1870,Omega Jose
COD,1856,Kabamwanishi Mashala
TLS,1841,de Araujo Helder
LES,1828,Klaas Tokelo
CAY,1775,Shaw Matthew Ian
COM,1768,Aziradji Mohamed Ismael
GEQ,1767,Oscar Naranjo Gonzalez
DMA,1741,Francis Nigel
CHA,1736,Mahamat Hachim Bachar
Ind,1727,Thanchunga
SWZ,1722,Hlophe Smilo
CAF,1701,Koualet-Bebondi Vianney Archeveq
LAO,1678,Charlee Porthor
BUR,1663,Nicolas Carbonell
SKN,1545,Selkridge Alanderson
ANT,1464,Farquhar Abner
GRN,1301,Roberts Gennard
